;választott_tárgy;idegen_nyelv_ks;Felvételkori_pénzü_státusz;erettsegi_ota_eltelt_évek;magyar_nyelvtan_ks;Szerzett/Érettségi_pontsz;matematika;verseny;matematika_ks;Képzés;ks_helye;Hozott/Tanulmányi_pontszám;magyar_irodalom_ks;Oklevél_eredménye_számmal;Felvétel_féléve;nyv_pontok;történelem;regolya;magyar_nyelv_és_irodalom;nem_ferfi;választható_tantárgy_ks;regolya.1;idegen_nyelv;történelem_ks;felvi_osszes_skalazott
6451;102.0;5.0;True;0.0;4.0;129.0;100.0;1.0;4.0;7N-AKM03;Főváros;175.0;3.5;4.43;2012/13/1;1.5;64.0;False;100.0;True;5.0;False;150.0;4.0;362.0
2304;93.0;4.0;True;0.0;4.5;151.0;94.5;1.0;3.5;6N-AJ;Főváros;172.0;4.5;4.27;2012/13/1;1.0;93.0;False;92.0;True;4.5;False;126.0;4.0;450.0
4529;66.0;4.5;False;0.0;5.0;187.0;129.0;1.0;4.0;2N-AE0;Főváros;192.0;5.0;3.34;2010/11/1;1.5;88.0;False;86.0;True;5.0;False;150.0;4.5;427.0
5528;108.0;5.0;True;0.0;5.0;161.0;53.0;1.0;5.0;6N-A0;Nagyváros (megyei jogú);184.0;5.0;3.66;2018/19/1;2.0;68.0;False;71.0;True;4.0;False;91.0;3.0;411.0
2613;60.0;4.0;True;0.0;4.0;148.0;91.0;1.0;5.0;5N-A8;Főváros;193.0;4.0;4.04;2011/12/1;1.0;81.0;False;86.0;False;5.0;False;86.0;5.0;426.0
5879;100.0;5.0;True;2.0;4.0;177.0;115.5;1.0;5.0;2N-AM0;Főváros;154.0;5.0;3.65;2012/13/1;1.0;93.0;False;84.0;True;4.5;False;75.0;3.5;468.75
2365;92.0;5.0;True;0.0;4.5;183.0;71.0;1.0;5.0;1N-AEM;Egyéb;175.0;2.5;4.91;2011/12/1;1.5;89.0;True;41.0;False;4.5;False;72.0;4.5;383.0
2724;84.0;3.5;True;5.0;4.5;137.0;72.0;1.0;5.0;5N-A7;Egyéb;179.0;5.0;3.81;2010/11/1;1.0;81.0;True;92.0;True;5.0;False;96.0;5.0;415.0
1566;82.0;5.0;True;0.0;4.0;155.0;80.0;1.0;5.0;5N-A7;Főváros;173.0;5.0;3.36;2011/12/1;1.0;60.0;False;76.0;True;5.0;False;88.0;2.5;431.0
611;90.0;4.0;True;0.0;5.0;164.0;86.0;1.0;4.5;2N-AM0;Főváros;187.0;4.0;4.1;2013/14/1;1.5;62.0;False;60.0;False;5.0;False;76.0;3.0;370.0
6808;82.0;5.0;True;0.0;4.5;133.0;97.0;1.0;5.0;5N-A8;Nagyváros (megyei jogú);186.0;3.0;4.85;2011/12/1;1.0;81.0;False;72.0;True;4.5;False;75.0;5.0;473.75
6794;71.0;5.0;True;0.0;5.0;185.0;71.0;1.0;2.0;5N-A8;Nagyváros (megyei jogú);186.0;3.0;4.37;2013/14/1;1.0;100.0;False;85.0;True;4.0;False;86.0;4.0;473.0
5704;75.0;5.0;True;7.0;4.5;164.0;111.0;1.0;5.0;5N-A8;Nagyváros (megyei jogú);190.0;4.0;4.05;2011/12/1;2.5;63.0;False;89.0;True;4.5;False;80.0;5.0;392.0
469;94.0;5.0;True;0.0;4.5;123.0;130.5;1.0;5.0;5N-A7;Nagyváros (megyei jogú);181.0;3.0;3.26;2013/14/1;1.0;72.0;False;72.0;True;4.0;False;90.0;5.0;472.0
4524;121.5;5.0;True;0.0;5.0;178.0;112.5;1.0;4.5;5N-A8;Nagyváros (megyei jogú);177.0;5.0;4.8;2010/11/1;1.0;62.0;False;85.0;True;5.0;False;93.0;3.5;363.0
7380;83.0;3.5;True;3.0;4.5;144.0;72.0;1.0;5.0;7N-AKM03;Főváros;192.0;5.0;3.97;2015/16/1;1.0;70.0;False;60.0;False;5.0;False;102.0;5.0;441.0
7647;86.0;5.0;True;0.0;4.5;156.0;90.0;1.0;5.0;7N-AGM02;Nagyváros (megyei jogú);168.0;3.0;3.79;2015/16/1;1.5;75.0;False;80.0;True;5.0;False;108.0;3.5;461.75
2440;80.0;5.0;True;0.0;3.5;156.0;97.0;1.0;5.0;7N-ANG05;Főváros;181.0;4.5;3.79;2013/14/1;1.5;83.0;False;87.0;False;5.0;False;98.0;4.5;365.0
8475;70.0;5.0;True;0.0;5.0;169.0;81.0;1.0;3.5;5N-A7;Főváros;151.0;4.0;3.85;2010/11/1;1.0;71.0;False;89.0;False;5.0;True;80.0;5.0;354.0
6409;82.0;4.0;True;0.0;4.5;158.0;99.0;1.0;5.0;5N-A8;Egyéb;167.0;5.0;3.74;2017/18/1;1.0;81.0;False;68.0;True;5.0;False;80.0;3.5;491.0
3075;99.0;5.0;True;0.0;4.0;146.0;90.0;1.0;4.5;6N-A0;Főváros;179.0;5.0;3.8;2014/15/1;1.0;49.0;False;60.0;True;5.0;False;96.0;3.0;487.0
5295;87.0;4.0;True;0.0;4.0;186.0;99.0;1.0;5.0;3N-M0;Főváros;132.0;4.5;3.71;2010/11/1;1.5;112.5;False;82.0;True;4.0;False;100.0;4.0;396.0
5827;81.0;5.0;True;0.0;3.5;129.0;80.0;1.0;3.5;5N-A8;Nagyváros (megyei jogú);171.0;4.5;3.4;2010/11/1;1.0;54.0;False;80.0;True;5.0;False;88.0;5.0;397.0
5289;81.0;5.0;True;0.0;5.0;154.0;92.0;1.0;5.0;1N-AEM;Főváros;193.0;5.0;4.28;2013/14/1;1.5;80.0;True;84.0;True;5.0;True;80.0;4.0;364.0
5297;120.0;4.5;True;1.0;3.5;180.0;100.0;1.0;5.0;5N-A7;Egyéb;145.0;5.0;3.14;2014/15/1;0.5;80.0;False;86.0;True;4.5;False;82.0;5.0;390.0
6439;68.0;4.5;True;0.0;3.0;144.0;68.0;1.0;4.5;4N-A7;Főváros;178.0;3.5;4.08;2011/12/1;1.5;82.0;False;94.0;True;4.0;False;82.0;3.5;408.0
1375;81.0;4.0;True;13.0;3.5;193.0;94.5;1.0;5.0;5N-A8;Főváros;176.0;3.5;4.65;2011/12/1;1.0;100.0;False;80.0;True;5.0;False;141.0;4.5;405.0
9791;98.0;5.0;True;1.0;5.0;185.0;118.5;1.0;5.0;7N-AGM02;Főváros;160.0;3.0;3.09;2011/12/1;2.0;68.0;False;94.0;True;5.0;True;91.0;4.0;431.75
5366;105.0;5.0;False;0.0;5.0;176.0;102.0;1.0;5.0;5N-A8;Főváros;185.0;4.5;4.62;2010/11/1;1.0;84.0;False;72.0;True;5.0;False;90.0;5.0;403.0
7212;87.0;5.0;True;0.0;4.0;196.0;144.0;1.0;5.0;7N-AMM04;Nagyváros (megyei jogú);158.0;5.0;3.32;2012/13/1;1.0;84.0;False;77.0;True;5.0;False;52.0;4.5;464.0
1373;127.5;5.0;True;0.0;5.0;163.0;108.0;1.0;3.5;6N-AJ;Főváros;185.0;5.0;4.67;2010/11/1;1.5;88.0;False;64.0;True;4.0;False;94.0;5.0;459.0
3499;92.0;3.5;True;7.0;5.0;173.0;108.0;1.0;4.0;2N-AG0;Nagyváros (megyei jogú);184.0;4.0;4.55;2014/15/1;1.5;52.0;False;71.0;False;5.0;False;84.0;5.0;324.0
3933;84.0;5.0;True;6.0;4.0;194.0;82.0;1.0;5.0;5N-A8;Egyéb;163.0;5.0;4.23;2012/13/1;1.5;80.0;False;76.0;True;5.0;False;103.5;5.0;470.0
8910;93.0;4.0;True;0.0;4.0;168.0;77.0;1.0;5.0;1N-AEM;Nagyváros (megyei jogú);150.0;2.0;3.22;2012/13/1;1.5;64.0;False;96.0;True;4.0;False;82.0;3.0;462.5
3425;70.0;5.0;True;1.0;5.0;162.0;92.0;1.0;4.0;6N-A0;Egyéb;177.0;3.0;3.54;2012/13/1;1.0;80.0;False;75.0;True;3.0;False;66.0;3.0;364.0
4110;91.5;4.5;True;1.0;3.5;182.0;99.0;1.0;5.0;5N-A7;Egyéb;170.0;3.0;4.24;2012/13/1;0.5;96.0;False;92.0;True;5.0;False;96.0;2.5;431.0
2792;92.0;5.0;True;0.0;4.0;152.0;68.0;1.0;5.0;6N-AJ;Főváros;0.0;3.5;3.83;2012/13/1;1.0;76.0;False;60.0;True;4.5;False;86.0;5.0;446.0
9001;88.5;4.0;True;9.0;4.0;126.0;102.0;1.0;5.0;7N-AGM02;Egyéb;181.0;4.5;3.68;2012/13/1;1.0;66.0;False;92.0;True;5.0;False;94.0;5.0;442.0
179;86.0;5.0;True;0.0;5.0;183.0;89.0;1.0;5.0;7N-AMM04;Főváros;172.0;4.5;4.13;2015/16/1;1.5;84.0;False;74.0;True;5.0;False;72.0;5.0;396.0
1591;121.5;5.0;True;9.0;5.0;172.0;71.0;1.0;4.0;5N-A7;Főváros;167.0;2.0;4.16;2011/12/1;1.0;69.0;False;96.0;True;5.0;False;90.0;5.0;441.0
6209;97.5;3.5;True;0.0;5.0;147.0;89.0;1.0;4.5;7N-ANG05;Főváros;184.0;5.0;4.74;2012/13/1;1.0;95.0;False;94.0;False;5.0;False;98.0;4.0;376.0
6988;74.0;5.0;True;9.0;5.0;160.0;109.5;1.0;5.0;3N-M0;Egyéb;188.0;2.5;4.37;2015/16/1;1.5;74.0;False;86.0;True;5.0;False;135.0;4.0;401.0
8614;106.5;5.0;True;3.0;5.0;162.0;109.5;1.0;2.0;2N-AG0;Főváros;187.0;5.0;4.67;2013/14/1;1.0;71.0;False;80.0;True;4.5;False;69.0;3.5;424.0
7307;118.5;5.0;True;0.0;5.0;173.0;93.0;1.0;5.0;2N-AM0;Nagyváros (megyei jogú);187.0;5.0;4.5;2013/14/1;2.0;81.0;False;76.0;True;4.5;False;126.0;5.0;432.0
9408;147.0;5.0;True;2.0;4.5;187.0;86.0;1.0;5.0;5N-A7;Főváros;191.0;5.0;3.84;2011/12/1;0.5;70.0;False;94.0;True;5.0;False;150.0;3.5;364.0
5673;129.0;5.0;True;8.0;5.0;164.0;78.0;1.0;5.0;5N-A7;Egyéb;168.0;4.0;4.12;2013/14/1;1.5;81.0;False;63.0;True;4.5;True;82.0;3.5;466.0
1674;118.5;5.0;True;4.0;5.0;140.0;87.0;1.0;5.0;5N-A7;Egyéb;195.0;5.0;3.53;2013/14/1;1.5;60.0;False;100.0;False;5.0;False;135.0;2.0;418.0
2997;83.0;5.0;True;0.0;4.0;183.0;93.0;1.0;5.0;5N-A8;Főváros;179.0;4.5;4.13;2013/14/1;1.0;80.0;False;70.0;False;5.0;False;82.0;5.0;474.0
3967;85.5;5.0;True;0.0;5.0;151.0;102.0;1.0;5.0;7N-AMM04;Nagyváros (megyei jogú);195.0;5.0;3.32;2014/15/1;1.5;88.0;False;66.0;False;4.0;False;82.0;4.5;391.0
7179;87.0;5.0;True;0.0;5.0;173.0;142.5;1.0;5.0;4N-A2;Egyéb;184.0;3.0;3.36;2015/16/1;1.0;79.0;False;89.0;True;5.0;False;90.0;2.5;428.5
9679;117.0;3.0;True;0.0;5.0;189.0;78.0;1.0;5.0;7N-AMM04;Egyéb;184.0;3.0;4.78;2012/13/1;1.5;81.0;False;64.0;False;5.0;False;91.0;5.0;354.0
2175;96.0;5.0;False;0.0;4.0;160.0;91.0;1.0;5.0;2N-AG0;Nagyváros (megyei jogú);161.0;5.0;4.55;2010/11/1;1.5;68.0;False;68.0;True;5.0;False;91.0;5.0;406.0
346;136.5;5.0;True;1.0;5.0;185.0;86.0;1.0;5.0;7N-ANG05;Főváros;171.0;5.0;4.59;2016/17/1;1.0;58.0;False;98.0;True;5.0;False;83.0;4.0;422.0
633;80.0;4.0;True;6.0;5.0;162.0;72.0;1.0;5.0;2N-AM0;Főváros;188.0;4.5;4.01;2013/14/1;2.0;70.0;False;81.0;True;5.0;False;71.0;5.0;446.5
4597;89.0;5.0;True;0.0;5.0;167.0;81.0;1.0;2.5;7N-AGM02;Egyéb;181.0;5.0;4.19;2011/12/1;1.5;29.0;False;84.0;True;5.0;False;121.5;3.0;313.0
7411;139.5;4.5;False;0.0;5.0;184.0;93.0;1.0;4.0;2N-AG0;Nagyváros (megyei jogú);176.0;5.0;3.72;2014/15/1;1.0;92.0;True;80.0;True;5.0;False;65.0;4.0;486.0
1965;120.0;5.0;True;0.0;5.0;196.0;141.0;1.0;5.0;2N-AT0;Nagyváros (megyei jogú);183.0;5.0;4.25;2010/11/1;1.5;72.0;False;72.0;True;5.0;True;98.0;3.5;480.0
7117;126.0;5.0;True;0.0;5.0;182.0;73.0;1.0;3.5;7N-AGM02;Nagyváros (megyei jogú);176.0;4.0;3.71;2013/14/1;1.5;141.0;False;69.0;True;5.0;False;75.0;5.0;455.0
3293;100.5;5.0;True;7.0;5.0;178.0;87.0;1.0;3.0;1N-AEM;Főváros;168.0;3.5;4.15;2010/11/1;1.5;68.0;False;86.0;True;5.0;False;78.0;3.0;468.0
1350;99.0;5.0;True;4.0;5.0;154.0;95.0;1.0;4.0;5N-A8;Nagyváros (megyei jogú);155.0;5.0;4.14;2013/14/1;1.0;88.0;False;82.0;False;3.5;False;90.0;5.0;412.0
8777;138.0;5.0;True;0.0;4.0;130.0;92.0;1.0;4.0;2N-AG0;Nagyváros (megyei jogú);192.0;5.0;4.76;2010/11/1;1.0;87.0;False;88.0;True;5.0;False;82.0;4.0;412.0
2486;93.0;5.0;True;0.0;4.0;138.0;94.0;1.0;5.0;2N-AG0;Főváros;180.0;3.5;4.14;2012/13/1;1.0;67.0;False;70.0;True;5.0;True;118.5;5.0;434.0
4456;50.0;4.5;True;5.0;4.5;160.0;148.5;1.0;5.0;3N-M0;Főváros;170.0;3.5;4.14;2010/11/1;1.5;84.0;False;70.0;True;5.0;False;95.0;4.0;373.0
2936;73.0;3.0;True;0.0;5.0;164.0;49.0;1.0;4.5;5N-A8;Nagyváros (megyei jogú);150.0;3.5;4.0;2010/11/1;1.0;76.0;False;88.0;False;5.0;False;87.0;5.0;470.0
6929;78.0;5.0;False;1.0;4.0;185.0;78.0;1.0;5.0;9N-AM06;Nagyváros (megyei jogú);189.0;5.0;3.98;2014/15/1;1.0;89.0;False;62.0;True;5.0;False;100.0;4.0;451.0
8344;100.5;5.0;True;0.0;4.5;149.0;95.0;1.0;4.0;2N-AG0;Főváros;181.0;4.0;4.43;2010/11/1;1.0;92.0;False;95.0;False;4.0;False;123.0;4.0;436.0
2775;102.0;5.0;True;0.0;3.5;155.0;80.0;1.0;5.0;5N-A8;Nagyváros (megyei jogú);176.0;4.5;3.96;2015/16/1;1.0;56.0;False;66.0;True;4.5;False;111.0;3.5;407.0
1399;100.0;5.0;True;0.0;5.0;164.0;92.0;1.0;5.0;4N-A5;Nagyváros (megyei jogú);192.0;4.0;4.31;2010/11/1;1.5;44.0;False;89.0;True;4.0;False;66.0;4.0;405.0
4932;46.0;4.0;True;0.0;3.5;162.0;100.0;1.0;5.0;2N-AE0;Egyéb;171.0;4.5;3.88;2015/16/1;2.0;68.0;False;88.0;False;5.0;False;85.5;4.0;468.0
9497;70.0;5.0;True;10.0;4.0;193.0;112.5;1.0;4.0;2N-AG0;Egyéb;182.0;5.0;4.24;2014/15/1;1.5;78.0;False;60.0;False;5.0;False;150.0;3.5;381.0
2402;97.0;5.0;True;2.0;3.5;179.0;87.0;1.0;4.0;6N-AJ;Egyéb;167.0;4.0;4.06;2017/18/1;2.0;74.0;False;83.0;True;4.5;False;112.5;4.0;408.25
4055;99.0;5.0;False;0.0;5.0;163.0;97.0;1.0;5.0;2N-AG0;Főváros;179.0;4.5;3.6;2014/15/1;1.0;56.0;False;80.0;True;5.0;False;105.0;4.5;462.5
8680;82.0;5.0;True;0.0;2.5;153.0;87.0;1.0;4.0;5N-A7;Egyéb;180.0;4.0;3.86;2013/14/1;1.0;75.0;False;75.0;True;5.0;False;94.0;5.0;468.0
2415;93.0;5.0;False;0.0;4.0;129.0;95.0;1.0;3.0;7N-AMM04;Nagyváros (megyei jogú);163.0;4.0;4.15;2010/11/1;1.5;85.0;False;77.0;True;3.5;False;96.0;4.0;408.0
6906;81.0;5.0;True;1.0;4.0;174.0;89.0;1.0;5.0;2N-AE0;Főváros;188.0;4.0;3.69;2011/12/1;1.0;85.0;True;92.0;True;5.0;False;85.5;3.5;442.0
772;61.0;4.5;True;0.0;4.0;157.0;90.0;1.0;4.0;9N-AM06;Főváros;0.0;5.0;3.93;2013/14/1;1.0;89.0;False;96.0;True;4.0;False;109.5;5.0;450.0
6835;80.0;5.0;True;2.0;3.5;166.0;78.0;1.0;5.0;2N-AG0;Főváros;164.0;4.0;4.98;2015/16/1;1.0;68.0;False;92.0;True;4.0;False;91.0;5.0;368.0
9350;99.0;4.5;True;0.0;5.0;179.0;144.0;1.0;5.0;5N-A8;Nagyváros (megyei jogú);192.0;5.0;4.09;2012/13/1;2.0;95.0;False;80.0;True;5.0;False;81.0;4.0;378.0
2581;90.0;4.0;True;3.0;3.5;193.0;73.0;1.0;3.5;5N-A8;Egyéb;188.0;5.0;4.19;2014/15/1;2.0;84.0;False;92.0;True;5.0;True;74.0;5.0;361.0
7261;132.0;4.5;True;0.0;2.0;163.0;141.0;1.0;4.5;5N-A8;Egyéb;184.0;4.0;3.44;2013/14/1;1.5;84.0;False;98.0;True;4.0;False;47.0;5.0;363.0
1836;76.0;5.0;True;0.0;5.0;176.0;111.0;1.0;5.0;7N-AMM04;Nagyváros (megyei jogú);177.0;5.0;3.98;2011/12/1;2.0;92.0;True;88.0;True;5.0;False;88.0;5.0;373.0
3452;78.0;4.5;True;7.0;5.0;120.0;64.0;1.0;3.0;7N-ANG05;Főváros;172.0;3.5;3.78;2011/12/1;1.5;89.0;False;84.0;True;5.0;False;124.5;4.0;456.5
2630;80.0;5.0;True;2.0;4.5;156.0;82.0;1.0;3.0;2N-AM0;Nagyváros (megyei jogú);191.0;2.0;3.35;2011/12/1;1.0;88.0;False;84.0;True;5.0;False;86.0;3.5;364.0
1294;82.0;3.5;False;0.0;5.0;126.0;90.0;1.0;4.0;7N-AGM02;Főváros;111.0;5.0;3.8;2013/14/1;1.5;86.0;False;84.0;True;5.0;False;80.0;4.5;386.0
6784;94.0;5.0;True;0.0;5.0;134.0;72.0;1.0;4.5;6N-AJ;Főváros;190.0;3.5;4.07;2015/16/1;2.0;60.0;False;100.0;True;5.0;False;81.0;3.0;430.0
8327;85.0;4.5;True;2.0;3.5;164.0;90.0;1.0;4.5;4N-A2;Főváros;149.0;5.0;3.42;2010/11/1;1.0;86.0;False;72.0;True;4.5;False;80.0;5.0;409.0
7200;94.0;4.5;True;0.0;4.0;181.0;103.5;1.0;5.0;6N-AJ;Nagyváros (megyei jogú);184.0;4.0;3.9;2011/12/1;1.0;88.0;False;82.0;True;5.0;False;103.5;4.5;402.0
8981;80.0;5.0;True;0.0;3.5;160.0;94.0;1.0;3.5;5N-A8;Nagyváros (megyei jogú);181.0;4.0;4.24;2014/15/1;2.5;66.0;False;60.0;True;5.0;False;90.0;5.0;427.0
1580;86.0;5.0;True;8.0;3.5;158.0;87.0;1.0;5.0;4N-A7;Főváros;195.0;4.5;3.92;2016/17/1;1.5;97.5;False;99.0;False;5.0;False;94.0;4.5;438.0
4792;117.0;5.0;True;0.0;4.5;159.0;66.0;1.0;4.0;5N-A8;Egyéb;143.0;4.5;2.83;2011/12/1;1.5;83.0;True;60.0;True;5.0;False;76.0;3.5;450.0
6263;81.0;5.0;True;0.0;5.0;154.0;83.0;1.0;4.5;5N-A8;Külföld;175.0;3.5;3.7;2011/12/1;1.0;75.0;False;72.0;True;5.0;False;78.0;4.5;374.0
214;86.0;4.0;True;10.0;3.0;154.0;68.0;1.0;2.5;5N-A8;Egyéb;167.0;4.0;3.88;2014/15/1;1.0;70.0;False;72.0;True;5.0;False;138.0;3.0;342.0
5199;98.0;5.0;False;2.0;2.5;167.0;73.0;1.0;4.0;1N-AEM;Nagyváros (megyei jogú);176.0;4.0;4.44;2015/16/1;1.5;80.0;False;52.0;True;4.5;False;93.0;2.5;451.0
7446;109.5;5.0;True;0.0;4.0;152.0;87.0;1.0;5.0;6N-AJ;Nagyváros (megyei jogú);192.0;5.0;3.63;2013/14/1;1.0;74.0;False;87.0;True;4.5;False;99.0;5.0;478.0
3047;115.5;5.0;True;0.0;5.0;193.0;90.0;1.0;4.5;6N-AJ;Nagyváros (megyei jogú);165.0;3.0;4.02;2010/11/1;1.0;55.0;False;94.0;True;5.0;False;95.0;4.0;405.0
50;135.0;5.0;True;0.0;5.0;172.0;62.0;1.0;3.5;6N-A0;Egyéb;193.0;5.0;3.86;2011/12/1;1.0;86.0;False;91.0;True;4.0;False;63.0;5.0;425.0
981;97.0;5.0;True;0.0;5.0;140.0;89.0;1.0;4.0;7N-AMM04;Egyéb;179.0;4.5;3.07;2014/15/1;1.0;88.0;False;89.0;True;4.0;False;69.0;5.0;423.0
4184;86.0;5.0;True;3.0;3.0;96.0;95.0;1.0;4.5;6N-AL;Főváros;189.0;4.5;4.08;2011/12/1;1.0;70.0;False;74.0;True;4.5;False;86.0;4.0;442.0
8748;46.0;4.0;True;0.0;5.0;151.0;79.0;1.0;5.0;4N-A2;Egyéb;192.0;5.0;3.67;2013/14/1;1.5;74.0;False;84.0;False;4.5;False;96.0;5.0;393.0
2651;105.0;5.0;True;0.0;2.5;180.0;83.0;1.0;5.0;7N-ANG05;Nagyváros (megyei jogú);153.0;4.0;3.67;2012/13/1;1.5;74.0;False;80.0;True;5.0;False;95.0;5.0;438.0
4303;94.0;5.0;True;4.0;4.5;194.0;64.0;1.0;5.0;5N-A7;Főváros;180.0;5.0;3.65;2011/12/1;1.5;88.0;True;50.0;False;5.0;False;92.0;2.5;464.0
2645;84.0;5.0;True;0.0;4.0;121.0;118.5;1.0;3.5;7N-AMM04;Egyéb;183.0;4.5;3.79;2013/14/1;1.5;87.0;False;66.0;True;5.0;False;87.0;5.0;388.0
4416;95.0;5.0;False;0.0;4.5;175.0;66.0;1.0;5.0;5N-A8;Nagyváros (megyei jogú);187.0;5.0;4.08;2011/12/1;1.0;72.0;False;55.0;True;5.0;False;86.0;4.0;414.0
1166;133.5;5.0;True;0.0;3.0;165.0;83.0;1.0;5.0;6N-A0;Főváros;160.0;5.0;3.2;2012/13/1;1.5;66.0;False;93.0;False;4.0;False;89.0;5.0;474.0
3490;70.5;4.5;True;0.0;5.0;156.0;97.0;1.0;5.0;2N-AG0;Egyéb;179.0;3.5;4.01;2010/11/1;1.5;64.0;False;55.0;False;5.0;False;115.5;5.0;480.0
5934;86.0;5.0;True;0.0;4.0;151.0;76.0;1.0;4.0;7N-AMM04;Főváros;161.0;4.0;4.07;2011/12/1;1.0;70.0;False;61.0;True;5.0;False;73.0;4.0;470.0
